Titre,Ingrédients Clés,Préparation (min),Cuisson (min),Contient viande/poisson ?,URL
Pâtes aux champignons et bleu,"Pâtes, champignons, fromage bleu, crème",10,15,Non,https://jow.fr/recipes/pates-aux-champignons-et-bleu-8v05an49ctpufsm10apf
Aubergine soja,"Aubergines, sauce soja, huile de sésame, ail, sésame",10,30,Non,https://lescommis.com/recettes/aubergine-soja-fg/
Pâtes pesto,"Pâtes, pesto (basilic, pignons, parmesan), huile d'olive",5,10,Non,https://www.soscuisine.fr/recette/pates-pesto
Pâtes à la sauce tomate crémeuse,"Pâtes, tomates, crème, oignon, ail",15,20,Non,https://www.micheldumas.com/pates-a-la-sauce-tomate-cremeuse/
"Salade de pois chiches, feta et concombre","Pois chiches, feta, concombre, tomate, menthe",15,0,Non,https://www.cuisineaz.com/recettes/salade-de-pois-chiches-feta-et-concombre-116657.aspx
Courgettes farcies légères,"Courgettes, farce (viande/légumes), oignon, ail",20,30,Oui,https://www.cuisineaz.com/recettes/courgettes-farcies-legeres-54220.aspx
Chou Pak Choï sauté wok,"Pak choï, œufs, sauce d'huître, sauce soja, ail",10,10,Non,https://www.passeportsante.net/nutrition/recettes/recettes-chou-pak-choi-saute-wok
Légumes rôtis,"Légumes racines (carottes, céleri-rave, etc.), origan, huile d'olive",15,40,Non,https://www.soscuisine.fr/recette/legumes-rotis
Saucisse et lentilles,"Saucisse, lentilles, carottes, oignon, bouillon",15,40,Oui,https://jow.fr/recipes/saucisse-et-lentilles-8f7rhmw05aep170z0ywm
Hachis parmentier au butternut et chèvre,"Bœuf haché, courge butternut, patate douce, chèvre",30,60,Oui,https://jow.fr/recipes/hachis-parmentier-au-butternut-et-chevre-929d4cdng4tc02wk81x0
"Tarte rustique aux poireaux, roquefort et noix","Pâte, poireaux, roquefort, noix, crème",20,35,Non,https://jow.fr/recipes/tarte-rustique-aux-poireaux-roquefort-et-noix-91tjf9dhbpsw035k10yf
Gnocchi crémeux au poulet et épinards,"Gnocchi, poulet, épinards, crème, parmesan",10,15,Oui,https://jow.fr/recipes/gnocchi-cremeux-au-poulet-et-epinards-959l790qj0r6lks9049x
Lasagnes poireaux et saumon,"Feuilles de lasagne, poireaux, saumon, crème, fromage râpé",20,20,Oui,https://jow.fr/recipes/lasagnes-poireaux-et-saumon-80w5c907l00s01tq8f5z
"Poulet au sésame, haricots verts et riz","Poulet, haricots verts, riz, sauce soja, huile de sésame",10,15,Oui,https://jow.fr/recipes/poulet-au-sesame-haricots-verts-et-riz-83f3g809d300063x0x4f
Soupe de vermicelles aux poireaux et lardons,"Vermicelles, poireaux, lardons, bouillon",15,20,Oui,https://jow.fr/recipes/soupe-de-vermicelles-aux-poireaux-et-lardons-9192d1vhk5tcl601004h
Curry de lentilles et patates douces,"Lentilles corail, patate douce, oignon, curry, lait de coco",10,25,Non,https://jow.fr/recipes/curry-de-lentilles-et-patates-douces-959l730qj0r6lks9049n
Pâtes crémeuses aux champignons et à l'ail,"Pâtes, champignons, ail, fromage frais, noisettes",10,15,Non,https://jow.fr/recipes/pates-cremeuses-aux-champignons-et-a-l-ail-929d47dng4tc02wk81vv
"Poulet, fondue de poireaux et penne","Poulet, Penne, Poireaux, Crème fraîche",5,15,Oui,https://jow.fr/recipes/poulet-fondue-de-poireaux-et-penne-8xd00zbzg4k0037m1cus
Lasagnes alla Bolognese,"Pâtes à lasagne, boeuf haché, sauce tomate, béchamel, parmesan",20,35,Oui,https://jow.fr/recipes/lasagnes-alla-bolognese-8dcybcvx08iakg7n0qod?backUrl=%2F%3FactiveTabId%3Dnutriscore-a-b%26recipeId%3D5f5a2815fd02b12e8f13870d%23home-catalog
